ID,Lat,Lon,Dep,Mag
456,48.611092,-123.040299,16.754,1.1
457,48.608325,-123.036491,16.030,0.6
458,48.609871,-123.029736,16.720,0.6
459,48.693001,-123.276562,17.356,0.8
460,48.660103,-123.018815,54.684,2.0
461,48.551322,-123.990161,21.849,1.5
462,48.599854,-123.035132,14.151,0.7
463,48.245605,-123.143595,22.559,1.7
464,48.601237,-123.093457,11.946,0.7
465,48.320280,-123.372705,22.951,1.5
466,48.494706,-123.657487,22.019,0.5
467,48.683223,-123.098730,23.109,1.1
468,48.631144,-123.072835,61.104,2.8
469,48.505538,-123.521143,30.753,1.0
470,48.499190,-123.630461,23.454,1.4
471,48.455347,-123.271777,24.856,0.9
472,48.518974,-123.533740,25.258,0.8
473,48.356425,-123.080330,31.895,0.5
475,48.487561,-123.704378,29.102,0.6
477,48.536930,-123.468848,27.973,0.7
480,48.610482,-123.109554,16.391,3.0
481,48.548450,-123.645955,23.175,0.5
482,48.542814,-123.474259,27.816,0.9
483,48.598051,-123.030843,18.299,0.9
484,48.560209,-122.987085,56.441,1.0
486,48.269271,-123.401611,41.422,0.8
487,48.595406,-123.030127,19.057,1.0
488,48.371448,-123.232349,26.909,0.7
489,48.671871,-123.054370,54.655,1.5
490,48.585588,-123.114388,8.440,1.1
491,48.238635,-123.176709,26.106,1.1
492,48.489779,-123.227441,26.924,0.4
493,48.502144,-123.285311,31.199,1.2
494,48.651123,-123.221672,51.033,2.0
495,48.255888,-123.079972,40.561,1.5
496,48.680619,-123.379338,18.637,0.5
498,48.348975,-123.331763,41.194,1.2
499,48.604199,-123.101701,6.691,1.2
500,48.433525,-123.591683,18.213,1.4
501,48.432585,-123.630591,3.891,0.7
502,48.275431,-123.024308,27.657,0.6
503,48.317045,-123.511165,29.939,0.7
504,48.570634,-123.023869,3.830,0.8
506,48.262740,-123.156152,28.329,1.5
507,48.272852,-123.036873,20.698,0.7
508,48.476265,-123.266618,24.338,0.8
509,48.601400,-123.032552,18.552,2.5
511,48.398067,-123.265055,42.693,0.7
512,48.472168,-123.271655,24.496,0.5
513,48.471643,-123.464445,23.477,0.7
514,48.473279,-123.387345,24.154,1.7
515,48.596944,-123.029175,17.743,1.4
516,48.502600,-123.241870,31.326,0.7
517,48.466964,-123.276896,24.137,0.8
518,48.454077,-123.266154,23.772,0.9
519,48.606124,-123.030013,11.923,0.9
520,48.604740,-123.034416,13.797,0.9
521,48.605575,-123.027246,11.778,0.8
522,48.469185,-123.271940,24.745,0.9
523,48.367151,-123.182959,46.374,0.7
524,48.494482,-123.232161,28.312,1.1
525,48.609485,-123.038029,18.455,0.6
526,48.465072,-123.265771,22.695,0.7
527,48.467159,-123.276278,23.888,1.0
528,48.208244,-123.422534,20.172,1.4
529,48.503691,-123.665112,17.645,1.4
530,48.513363,-123.503019,14.927,1.4
531,48.460352,-123.300472,21.154,1.4
532,48.378353,-123.807446,38.537,1.8
533,48.607023,-123.029020,13.636,0.7
534,48.600936,-123.093294,9.232,1.5
535,48.572233,-123.582585,27.978,1.1
536,48.478715,-123.419084,24.242,0.9
537,48.477018,-123.388273,27.899,1.4
538,48.545581,-123.768327,22.960,1.0
539,48.547493,-123.765983,22.776,1.3
540,48.545736,-123.768205,23.071,1.8
541,48.380135,-123.318896,14.393,1.6
542,48.327738,-123.299951,46.228,3.3
543,48.527332,-123.551017,21.278,1.2
544,48.549040,-123.482365,26.929,0.7
545,48.549463,-123.768343,22.669,1.2
546,48.550012,-123.765690,23.357,1.6
547,48.549072,-123.766097,22.595,1.1
548,48.672213,-123.268213,21.011,0.6
549,48.472327,-123.278296,22.728,0.7
550,48.551831,-123.446663,26.435,1.0
551,48.673458,-123.253141,20.741,0.3
552,48.401363,-123.524536,5.036,1.0
553,48.588546,-123.096037,8.241,0.7
554,48.669344,-123.248560,21.835,0.7
555,48.585628,-123.090470,8.041,1.1
556,48.590043,-123.085140,12.581,0.8
557,48.513904,-123.436914,25.060,0.6
558,48.463220,-123.312655,22.493,0.5
559,48.468152,-123.421460,13.732,0.6
560,48.483639,-123.514364,1.362,1.4
561,48.474886,-123.400960,20.573,0.7
562,48.439709,-123.355078,23.987,0.8
563,48.567029,-123.035807,46.605,0.5
564,48.560116,-123.479915,23.687,1.3
565,48.480066,-123.509310,1.122,1.3
566,48.472380,-123.269588,22.362,0.6
567,48.424943,-123.351676,29.808,1.1
569,48.612484,-123.127441,8.525,0.7
571,48.696834,-123.266268,18.469,0.8
572,48.695874,-123.263013,18.418,1.0
574,48.652828,-123.284229,17.070,1.0
575,48.656637,-123.286800,18.728,1.3
576,48.611117,-123.644857,24.022,0.7
577,48.602209,-123.119767,8.430,0.7
578,48.474878,-123.296086,55.835,3.9
579,48.474878,-123.296086,55.835,4.9
580,48.596785,-123.027108,16.992,1.1
581,48.606921,-123.034253,8.737,0.9
582,48.533484,-123.515592,23.609,0.7
583,48.599634,-123.118547,8.389,0.6
584,48.399736,-123.528475,5.151,1.6
585,48.483089,-123.232202,27.146,2.0
586,48.475460,-123.462948,27.388,0.7
587,48.237585,-123.251408,38.652,1.7
588,48.598104,-123.091756,8.992,1.4
589,48.598283,-123.095776,8.811,1.0
590,48.595984,-123.102873,7.597,0.9
591,48.598307,-123.104810,7.477,0.5
593,48.536495,-123.475684,24.675,1.0
594,48.466410,-123.288721,24.205,0.5
595,48.604358,-123.102580,13.138,0.9
596,48.495536,-123.229565,28.128,0.7
597,48.604903,-123.661060,24.892,0.9
598,48.603410,-123.102734,13.405,0.7
599,48.497066,-123.663875,21.913,0.7
600,48.505806,-123.235872,25.308,0.8
