ID Lat Lon Dep Mag Strike Dip Rake
537 48.475553 -123.392651 26.668 1.4 -1234 -1234 -1234
559 48.467647 -123.422534 12.598 0.6 -1234 -1234 -1234
560 48.486202 -123.492521 3.337 1.4 -1234 -1234 -1234
561 48.474483 -123.404102 19.297 0.7 -1234 -1234 -1234
565 48.482613 -123.482829 4.141 1.3 -1234 -1234 -1234
586 48.473116 -123.461613 25.863 0.7 -1234 -1234 -1234
603 48.480371 -123.424382 20.456 1 -1234 -1234 -1234
629 48.473783 -123.458 21.282 0.6 -1234 -1234 -1234
641 48.468066 -123.461873 9.096 1 -1234 -1234 -1234
677 48.490715 -123.447339 22.237 0.8 -1234 -1234 -1234
678 48.488306 -123.447331 22.217 0.9 -1234 -1234 -1234
740 48.49113 -123.445329 21.775 0.6 -1234 -1234 -1234
746 48.475964 -123.424406 21.258 0.7 -1234 -1234 -1234
775 48.488135 -123.407544 22.274 2.2 280 90 -170
776 48.485392 -123.420117 21.97 0.8 -1234 -1234 -1234
777 48.495361 -123.421566 19.415 0.9 -1234 -1234 -1234
790 48.452136 -123.473429 24.058 0.9 -1234 -1234 -1234
808 48.452783 -123.476904 24.007 0.8 -1234 -1234 -1234
901 48.478373 -123.41224 19.383 0.7 -1234 -1234 -1234
961 48.475907 -123.479834 21.472 1 -1234 -1234 -1234
964 48.456307 -123.459318 23.141 1.1 -1234 -1234 -1234
970 48.4955 -123.443579 21.831 1 -1234 -1234 -1234
998 48.493433 -123.424178 24.791 1.6 -1234 -1234 -1234
1000 48.481063 -123.434839 24.887 0.9 -1234 -1234 -1234
1001 48.453365 -123.480216 15.294 1.6 -1234 -1234 -1234
1016 48.484082 -123.3802 26.194 0.7 -1234 -1234 -1234
1018 48.485339 -123.412158 22.494 1.5 -1234 -1234 -1234
1019 48.488916 -123.401424 19.307 1.9 -1234 -1234 -1234
1020 48.47439 -123.463615 16.239 1 -1234 -1234 -1234
1043 48.482259 -123.476652 5.65 1.2 -1234 -1234 -1234
1047 48.478064 -123.503589 3.566 1.3 -1234 -1234 -1234
1060 48.480636 -123.413932 22.927 1 -1234 -1234 -1234
1077 48.474451 -123.481014 24.326 1.1 -1234 -1234 -1234
1079 48.479785 -123.410303 24.675 0.8 -1234 -1234 -1234
1093 48.476619 -123.4257 21.246 1.5 154 41 -69
1097 48.481425 -123.486629 7.646 0.7 -1234 -1234 -1234
1104 48.482788 -123.483 5.768 1 -1234 -1234 -1234
1218 48.496187 -123.419491 25.416 1.3 -1234 -1234 -1234
1225 48.471057 -123.426107 19.452 1.4 -1234 -1234 -1234
1237 48.480204 -123.395825 23.176 1.5 -1234 -1234 -1234
1250 48.48442 -123.448698 21.477 0.4 -1234 -1234 -1234
1265 48.489941 -123.382284 21.401 0.1 -1234 -1234 -1234
1266 48.483964 -123.37937 22.144 0.8 -1234 -1234 -1234
1269 48.489494 -123.482357 2.259 1.1 -1234 -1234 -1234
1274 48.494775 -123.36993 21.127 0.7 -1234 -1234 -1234
1304 48.485372 -123.387158 24.229 0.4 -1234 -1234 -1234
1352 48.478825 -123.485986 4.366 1 -1234 -1234 -1234
1392 48.467188 -123.449227 21.397 0.3 -1234 -1234 -1234
1421 48.480229 -123.487817 2.646 0.3 -1234 -1234 -1234
1429 48.477942 -123.50284 3.408 1.1 -1234 -1234 -1234
1468 48.481392 -123.394189 22.636 1.2 -1234 -1234 -1234
1471 48.466166 -123.483195 24.234 1.3 -1234 -1234 -1234
ID Lat Lon Dep Mag Strike Dip Rake
413 48.456372 -123.212467 20.41 1 -1234 -1234 -1234
434 48.500545 -123.299089 28.343 0.5 -1234 -1234 -1234
444 48.482056 -123.24034 31.918 1.3 -1234 -1234 -1234
454 48.452694 -123.299357 20.035 2 -1234 -1234 -1234
455 48.448446 -123.304118 22.104 0.7 -1234 -1234 -1234
471 48.448836 -123.272909 24.477 0.9 -1234 -1234 -1234
492 48.479822 -123.22194 27.069 0.4 -1234 -1234 -1234
493 48.494568 -123.286841 30.364 1.2 -1234 -1234 -1234
508 48.471159 -123.27146 23.809 0.8 -1234 -1234 -1234
512 48.468522 -123.274406 23.55 0.5 -1234 -1234 -1234
516 48.500321 -123.24659 29.733 0.7 -1234 -1234 -1234
517 48.46335 -123.27915 23.196 0.8 -1234 -1234 -1234
518 48.449744 -123.270605 23.199 0.9 -1234 -1234 -1234
522 48.465422 -123.274666 23.799 0.9 -1234 -1234 -1234
524 48.487073 -123.237337 27.811 1.1 -1234 -1234 -1234
526 48.461051 -123.270719 22.041 0.7 -1234 -1234 -1234
527 48.463586 -123.278613 22.969 1 -1234 -1234 -1234
531 48.459635 -123.308244 20.025 1.4 -1234 -1234 -1234
549 48.47229 -123.28785 21.285 0.7 -1234 -1234 -1234
558 48.459379 -123.317668 21.789 0.5 -1234 -1234 -1234
566 48.468396 -123.274723 21.746 0.6 -1234 -1234 -1234
585 48.478247 -123.236784 26.107 2 -1234 -1234 -1234
594 48.459835 -123.290715 23.951 0.5 -1234 -1234 -1234
596 48.493766 -123.235352 26.476 0.7 -1234 -1234 -1234
600 48.499695 -123.239307 24.41 0.8 -1234 -1234 -1234
602 48.4677 -123.273446 21.947 0.6 -1234 -1234 -1234
617 48.47078 -123.280949 22.367 1.2 -1234 -1234 -1234
619 48.459196 -123.275781 24.744 2.5 55 60 80
620 48.490092 -123.28256 18.331 1.9 -1234 -1234 -1234
624 48.459591 -123.2427 23.696 0.7 -1234 -1234 -1234
626 48.460661 -123.295256 18.91 0.5 -1234 -1234 -1234
668 48.473678 -123.274634 21.547 0.8 -1234 -1234 -1234
673 48.509892 -123.31888 26.978 0.7 -1234 -1234 -1234
687 48.4809 -123.27321 23.156 0.6 -1234 -1234 -1234
697 48.468042 -123.288338 22.235 0.6 -1234 -1234 -1234
700 48.464909 -123.281689 23.048 0.6 -1234 -1234 -1234
704 48.472823 -123.254834 20.985 0.6 -1234 -1234 -1234
778 48.469845 -123.282161 21.727 0.5 -1234 -1234 -1234
782 48.468205 -123.275309 22.047 0.6 -1234 -1234 -1234
801 48.462052 -123.273079 22.306 0.7 -1234 -1234 -1234
802 48.460701 -123.273779 22.929 0.8 -1234 -1234 -1234
804 48.463912 -123.274097 22.157 0.5 -1234 -1234 -1234
809 48.453487 -123.314787 20.422 0.9 -1234 -1234 -1234
810 48.46637 -123.278442 22.422 0.5 -1234 -1234 -1234
813 48.461479 -123.260596 21.901 0.4 -1234 -1234 -1234
814 48.46189 -123.269067 22.727 0.8 -1234 -1234 -1234
817 48.468022 -123.253703 22.989 0.8 -1234 -1234 -1234
855 48.46368 -123.266838 22.458 0.6 -1234 -1234 -1234
861 48.516561 -123.234603 30.318 1.1 -1234 -1234 -1234
885 48.495752 -123.309139 26.388 0.3 -1234 -1234 -1234
